job_id,job_title,company,location,stadt_normalisiert,bfs_region,category,lohnkategorie,wirtschaftszweig_bfs,seniority,contract_type,salary_range,gehalt_monat_chf,gehalt_jahr_chf,bfs_medianlohn_chf,lohn_diskrepanz_chf,lohn_diskrepanz_pct,skills_liste,skills_anzahl,date_posted,job_url
a29e6376-b993-4ad2-99c4-e09ac24433e3,Operator Biological Manufacturing DSP (w/m/d),Bavarian Nordic Berna GmbH,Bern,Bern,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 41775 - 81775 (jobs.ch estimate),5148.0,66924.0,7995.0,-2847.0,-35.6,SAP,1,2026-04-20T16:33:15+02:00,https://www.jobs.ch/de/stellenangebote/detail/a29e6376-b993-4ad2-99c4-e09ac24433e3/
fed1c671-05f6-44da-8f1a-74bb4ac0df71,Spezialist/in Abwasserbehandlung (Industrie) 100% (m/w/d),Thommen-Furler AG,Urdorf,Urdorf,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Senior,On-site,CHF 78809 - 93600 (jobs.ch estimate),7184.0,93392.0,9835.0,-2651.0,-27.0,,0,2026-04-20T16:33:38+02:00,https://www.jobs.ch/de/stellenangebote/detail/fed1c671-05f6-44da-8f1a-74bb4ac0df71/
13a88aa0-c235-43a4-951a-316ad2cc352f,ECA-Operator /Erfahrung beim Mikroskopieren,Gi Life Sciences Basel,Schaffhausen,Schaffhausen,Ostschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 59500 - 80000 (jobs.ch estimate),5812.0,75556.0,7848.0,-2036.0,-25.9,Deutsch | GMP,2,2026-04-20T18:04:19+02:00,https://www.jobs.ch/de/stellenangebote/detail/13a88aa0-c235-43a4-951a-316ad2cc352f/
713c5d90-7468-4db4-8d2b-128f94f227ae,Technologue en production chimique et pharmaceutique (f/h/d),Colors & Effects Switzerland AG,Monthey,Monthey,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 68000 - 108000 (jobs.ch estimate),7333.0,95329.0,9835.0,-2502.0,-25.4,,0,2026-04-21T01:59:56+02:00,https://www.jobs.ch/de/stellenangebote/detail/713c5d90-7468-4db4-8d2b-128f94f227ae/
dcf4ba27-df06-43dd-8c62-d2c9ff7362bc,"Innovation & Technical Marketing Manager Polymers, 100%",Omya (Schweiz) AG,Oftringen,Oftringen,Andere,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,CHF 60600 - 100600 (jobs.ch estimate),6717.0,87321.0,9835.0,-3118.0,-31.7,Agile,1,2026-04-21T12:34:26+02:00,https://www.jobs.ch/de/stellenangebote/detail/dcf4ba27-df06-43dd-8c62-d2c9ff7362bc/
2b5292c5-d411-49f2-acf7-8a53b65aba9f,Regulatory & Medical Affairs,Spirig HealthCare AG,Egerkingen,Solothurn,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Mid,On-site,CHF 90000 - 130000 (jobs.ch estimate),9167.0,119171.0,7995.0,1172.0,14.7,Deutsch,1,2026-04-21T13:33:06+02:00,https://www.jobs.ch/de/stellenangebote/detail/2b5292c5-d411-49f2-acf7-8a53b65aba9f/
a57d40ad-1323-4dc4-ab4a-19243c0dfb32,Procurement Manager External Manufacturing Services (m/w),Personal Contact Basel AG,Basel,Basel,Nordwestschweiz,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,Remote,CHF 75000 - 115000 (jobs.ch estimate),7917.0,102921.0,10851.0,-2934.0,-27.0,SAP | GMP,2,2026-04-21T13:33:15+02:00,https://www.jobs.ch/de/stellenangebote/detail/a57d40ad-1323-4dc4-ab4a-19243c0dfb32/
9034e406-ca4b-4c23-9956-fce25a9cd9c3,"Innovation & Technical Marketing Manager Paper & Board, 100%",Omya (Schweiz) AG,Egerkingen,Solothurn,Espace Mittelland,Chemie / Pharma,Hochlohn,Herst. v. pharmazeutischen Erzeugnissen,Lead/Manager,On-site,CHF 64500 - 104500 (jobs.ch estimate),7042.0,91546.0,7995.0,-953.0,-11.9,Agile,1,2026-04-21T14:34:28+02:00,https://www.jobs.ch/de/stellenangebote/detail/9034e406-ca4b-4c23-9956-fce25a9cd9c3/
ff2e97cf-f5fc-447e-845e-308acefdd529,Prüfungsleiterin / Prüfungsleiter Senior Auditor (a),Berner Kantonalbank AG (BEKB | BCBE),Bern-Liebefeld,Bern,Espace Mittelland,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Lead/Manager,Hybrid,CHF 69000 - 109000 (jobs.ch estimate),7417.0,96421.0,7771.0,-354.0,-4.6,,0,2026-04-21T05:02:42+02:00,https://www.jobs.ch/de/stellenangebote/detail/ff2e97cf-f5fc-447e-845e-308acefdd529/
5c77d358-3fcf-4b87-ab51-f99c24fce38c,Bachelor Graduate Human Resources,LLB – Liechtensteinische Landesbank AG,Vaduz,Vaduz,Andere,Banken / Finanzinstitute,Hochlohn,Finanz- u. Versicherungsdienstleistungen,Junior,On-site,CHF 80000 - 120000 (jobs.ch estimate),8333.0,108329.0,9196.0,-863.0,-9.4,,0,2026-04-21T13:01:58+02:00,https://www.jobs.ch/de/stellenangebote/detail/5c77d358-3fcf-4b87-ab51-f99c24fce38c/
